index,brand_name,model,price,rating,processor,processor_brand,iter,ram,threads_num,core_num,ram_num,memory_type,memory_size,gpu_brand,gpu_type,os,display_size,resolutioin_height,resolutioin_width,Touch_Screen,warrenty
2,Lenovo,Lenovo V15 G4 ‎83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),39990,4.5,7th Gen AMD Ryzen 7 7730U,AMD,Ryzen 7,16 GB DDR4 RAM,16.0,8.0,16,SSD,512,AMD,Integrated,Windows 11,15.6,1920,1080,False,1
3,Samsung,Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11),36990,4.4,13th Gen Intel Core i3 1315U,Intel,Core i3,8 GB LPDDR4x RAM,8.0,8.0,8,SSD,512,Intel,Integrated,Windows 11,15.6,1920,1080,False,1
4,HP,HP 15-fc0154AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),30290,4.7,7th Gen AMD Ryzen 3 7320U,AMD,Ryzen 3,8 GB DDR5 RAM,8.0,8.0,8,SSD,512,AMD,Integrated,Windows 11,15.6,1920,1080,False,1
5,MSI,MSI Titan 18 HX Gaming Laptop (Intel Core Ultra 9-285HX / 32GB/ 1TB SSD/ Win11 Home/ RTX 5070),359900,4.75,Intel Core Ultra 9 285HX,Intel,Core Ultra 9,32 GB DDR5 RAM,24.0,24.0,32,SSD,1000,NVIDIA,Dedicated,Windows 11,18,3840,2400,False,3
6,Asus,Asus Vivobook 16X 2023 K3605ZC-MBN544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX3050),59140,4.1,12th Gen Intel Core i5 12500H,Intel,Core i5,16 GB DDR4 RAM,16.0,12.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,16,1920,1200,False,1
7,HP,HP Victus 15-fb0112AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),59990,4.15,5th Gen AMD Ryzen 5 5600H,AMD,Ryzen 5,16 GB DDR4 RAM,12.0,8.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
8,HP,HP B12V5PT Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),33249,4.7,13th Gen Intel Core i3 1315U,Intel,Core i3,16 GB DDR4 RAM,8.0,8.0,16,SSD,512,Intel,Integrated,Windows 11,15.6,1366,768,False,1
9,Infinix,Infinix INBook Y3 Max Series YL613 Laptop (12th Gen Core i3/ 16GB/ 256GB SSD/ Win 11),24999,4.4,12th Gen Intel Core i3 1215U,Intel,Core i3,16 GB LPDDR4X RAM,8.0,8.0,16,SSD,256,Intel,Integrated,Windows 11,16,1920,1200,False,1
10,Lenovo,Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),72990,4.15,12th Gen Intel Core i5 12450HX,Intel,Core i5,16 GB DDR5 RAM,12.0,8.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
11,Lenovo,Lenovo LOQ 15IRX9 83DV00LXIN Gaming Laptop (13th Gen Core i7/ 24GB/ 512GB SSD/ Win11/ 8GB RTX4060),99990,4.4,13th Gen Intel Core i7 13650HX,Intel,Core i7,24 GB DDR5 RAM,,14.0,24,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
12,MSI,MSI Titan 18 HX AI A2XWIG Gaming Laptop (Intel Core Ultra 9-285HX/ 96GB/ 4TB SSD/ Win11 Pro/ 16GB Graphics RTX 5080),499999,4.55,Intel Core Ultra 9 285HX,Intel,Core Ultra 9,96 GB DDR5 RAM,24.0,24.0,96,SSD,4000,NVIDIA,Dedicated,Windows 11,18,3840,2400,False,3
13,Samsung,Samsung Galaxy Book 5 Pro 360 Laptop (Intel Core Ultra 7 Series 2/ 16GB/ 1TB SSD/ Win11),149990,4.75,Intel Core Ultra 7 Series 2 256V,Intel,Core Ultra 7,16 GB LPDDR5X RAM,,,16,SSD,1000,Intel,Integrated,Windows 11,16,2880,1800,True,1
14,Acer,Acer Swift Go 14 SFG14-41 NX.KG3SI.006 Laptop (AMD Ryzen 5 7430U / 16GB/ 512GB SSD/ Win11 Pro),39990,4.3,7th Gen AMD Ryzen 5 7430U,AMD,Ryzen 5,16 GB  RAM,12.0,8.0,16,SSD,512,AMD,Integrated,Windows 11,14,1920,1080,False,1
15,Infinix,Infinix GT Book GL613 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home/ 6GB RTX 3050 Graphics),53990,4.7,12th Gen Intel Core i5 12450H,Intel,Core i5,16 GB LPDDR5X RAM,12.0,8.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,16,1920,1200,False,1
